id,igdb_id,original_id,name,slug
110366,23273,NULL,"PlayStation Move",playstation-move
110367,21909,NULL,"PlayStation All-Stars",playstation-all-stars
110368,63011,NULL,"PlayStation Vita Pets",playstation-vita-pets
110369,80197,NULL,"PlayStation Home Arcade",playstation-home-arcade
110370,105508,NULL,"HOMESTAR VR for PlayStation VR",homestar-vr-for-playstation-vr
110371,125166,NULL,"Battlefield 6",battlefield-6
110372,89571,NULL,"Battlefield V Deluxe Edition",battlefield-v-deluxe-edition
110373,27236,NULL,"30 Battlefield",30-battlefield
110374,14535,NULL,"Battlefield 2142: Northern Strike",battlefield-2142-northern-strike
110375,46921,NULL,"Crystal Mines II",crystal-mines-ii
110376,123141,NULL,"Mine 18",mine-18
110377,102817,NULL,Mines,mines--1
110378,94643,NULL,Mines,mines
110379,44364,NULL,"Moon Mine",moon-mine
110380,13739,NULL,"The Mine",the-mine
110381,101872,NULL,Must-a-Mine,must-a-mine
110382,93481,NULL,"Mine Shaft",mine-shaft
110383,54245,NULL,"Mystic Mine",mystic-mine
110384,99115,NULL,"Mine Or Die",mine-or-die
110385,59300,NULL,"Mine Heroes",mine-heroes
110386,110565,NULL,"Mine Runner",mine-runner
110387,89965,NULL,"Mine Seeker",mine-seeker
110388,129043,NULL,"Shooty Mine",shooty-mine
110389,38909,NULL,"Pocket Mine",pocket-mine
110390,77523,NULL,"Players Unknown Battle Grand",players-unknown-battle-grand
110391,111360,NULL,"Unknown's Survival : Player Battlegrounds",unknowns-survival-player-battlegrounds
110392,124036,NULL,"PUBG LITE",pubg-lite
110393,124773,NULL,"PUBG Mobile Lite",pubg-mobile-lite
110394,129906,NULL,"PUBG Mobile: Season 6",pubg-mobile-season-6
110395,129905,NULL,"PUBG Mobile: Season 5",pubg-mobile-season-5
110396,129904,NULL,"PUBG Mobile: Season 4",pubg-mobile-season-4
110397,129909,NULL,"PUBG Mobile: Season 9",pubg-mobile-season-9
110398,129908,NULL,"PUBG Mobile: Season 8",pubg-mobile-season-8
110399,129907,NULL,"PUBG Mobile: Season 7",pubg-mobile-season-7
110400,1034,NULL,"The Legend of Zelda: Four Swords Adventures",the-legend-of-zelda-four-swords-adventures
110401,131954,NULL,"Code Vein: Lord of Thunder",code-vein-lord-of-thunder
110402,24728,NULL,"Lords of the Fallen: Game of the Year Edition",lords-of-the-fallen-game-of-the-year-edition
110403,81467,NULL,"J.R.R. Tolkien's Lord of the Rings: Volume One",jrr-tolkiens-lord-of-the-rings-volume-one
110404,23050,NULL,"Lords Of Time",lords-of-time
110405,18536,NULL,"Time Lord",time-lord
110406,10522,NULL,"Lords of the Black Sun",lords-of-the-black-sun
110407,46671,NULL,"Lord of the Sword",lord-of-the-sword
110408,72182,NULL,"Mortadelo y Filemón: Balones y Patadones",mortadelo-y-filemon-balones-y-patadones
110409,58248,NULL,Y-Tiles,y-tiles
110410,109724,NULL,"Zack Y",zack-y
110411,98672,NULL,"Vitamin Y",vitamin-y
110412,106019,NULL,"Macroboy Y",macroboy-y
110413,83338,NULL,"Zamba y San Martín",zamba-y-san-martin
110414,39964,NULL,"S.P.Y. Special Project Y",spy-special-project-y
110415,41083,NULL,"S.L.Y Special Project Y",sly-special-project-y
110416,103966,NULL,"De Fobos y Deimos",de-fobos-y-deimos
110417,128604,NULL,"Get X, Avoid Y",get-x-avoid-y
110418,69909,NULL,"Mortadelo y Filemón: El Sulfato Atómico",mortadelo-y-filemon-el-sulfato-atomico
110419,114586,NULL,"Mitos y Leyendas Online",mitos-y-leyendas-online
110420,98975,NULL,"Mortadelo y Filemon II: Safari Callejero",mortadelo-y-filemon-ii-safari-callejero
